                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2747,                0.44714,                0.54751,                0.50145,                0.37674,                0.38019,                0.15866,                 1.0021,                0.53476,                0.35207,                 0.0001,                 0.0001,                 0.0001
                      2,                0.94131,                0.55158,                0.29767,                0.63467,                0.48498,                0.53791,                0.27221,                0.81061,                0.56512,                0.25145,                 0.0001,                 0.0001,                 0.0001
                      3,                0.83623,                0.55673,                0.24299,                0.69911,                0.54699,                0.61375,                0.32923,                0.73041,                0.55353,                0.21602,               9.91e-05,               9.91e-05,               9.91e-05
                      4,                0.78337,                0.55429,                0.22111,                0.72705,                0.57688,                0.64918,                 0.3612,                0.68639,                 0.5511,                0.19998,               9.82e-05,               9.82e-05,               9.82e-05
                      5,                 0.7426,                0.55458,                0.20711,                0.74411,                0.59096,                0.66822,                0.37839,                0.66666,                0.54681,                 0.1953,               9.73e-05,               9.73e-05,               9.73e-05
                      6,                0.72088,                0.55024,                0.19905,                0.75718,                0.59888,                0.68037,                0.38839,                0.65583,                0.54444,                0.19246,               9.64e-05,               9.64e-05,               9.64e-05
                      7,                0.70357,                0.54536,                0.19239,                0.76581,                0.60739,                0.69097,                0.39742,                0.64609,                0.54114,                0.18929,               9.55e-05,               9.55e-05,               9.55e-05
                      8,                0.68663,                0.54187,                0.18718,                0.77565,                 0.6173,                0.70204,                0.40617,                0.63552,                0.53827,                 0.1868,               9.46e-05,               9.46e-05,               9.46e-05
                      9,                0.67402,                0.53994,                0.18151,                0.78123,                0.62644,                 0.7121,                0.41516,                0.62585,                 0.5348,                0.18314,               9.37e-05,               9.37e-05,               9.37e-05
                     10,                0.66565,                0.53532,                0.17901,                0.78866,                0.63543,                0.72176,                0.42345,                0.61652,                0.53195,                0.18023,               9.28e-05,               9.28e-05,               9.28e-05
                     11,                0.65627,                0.53331,                 0.1763,                0.79628,                0.64246,                0.73095,                0.43179,                0.60836,                0.52813,                0.17739,               9.19e-05,               9.19e-05,               9.19e-05
                     12,                0.64555,                0.53078,                 0.1736,                0.80202,                0.64816,                0.73822,                0.43873,                0.60034,                0.52531,                0.17522,                9.1e-05,                9.1e-05,                9.1e-05
                     13,                 0.6392,                 0.5287,                0.17059,                0.81078,                0.65575,                0.74645,                0.44595,                0.59282,                 0.5213,                0.17331,               9.01e-05,               9.01e-05,               9.01e-05
                     14,                0.63085,                0.52839,                0.16909,                0.81491,                0.66291,                0.75316,                0.45206,                0.58701,                 0.5167,                0.17176,               8.92e-05,               8.92e-05,               8.92e-05
                     15,                0.62878,                0.52431,                0.16705,                0.81863,                 0.6672,                0.75868,                0.45682,                0.58099,                0.51449,                0.17005,               8.83e-05,               8.83e-05,               8.83e-05
                     16,                0.62063,                0.52244,                0.16569,                0.82341,                0.67199,                0.76395,                0.46215,                0.57418,                0.51277,                0.16784,               8.74e-05,               8.74e-05,               8.74e-05
                     17,                0.61616,                0.52017,                0.16289,                0.82706,                0.67641,                0.76811,                0.46622,                0.56815,                0.51097,                0.16614,               8.65e-05,               8.65e-05,               8.65e-05
                     18,                0.61322,                0.51875,                0.16166,                0.82836,                0.68153,                0.77289,                0.47057,                0.56389,                0.50867,                0.16466,               8.56e-05,               8.56e-05,               8.56e-05
                     19,                 0.6108,                  0.517,                0.16148,                0.83249,                0.68491,                0.77684,                0.47454,                0.55955,                0.50679,                0.16305,               8.47e-05,               8.47e-05,               8.47e-05
                     20,                0.60263,                0.51603,                0.15899,                0.83371,                0.69044,                 0.7803,                 0.4781,                0.55522,                0.50447,                0.16142,               8.38e-05,               8.38e-05,               8.38e-05
                     21,                0.60233,                0.51404,                0.15851,                 0.8361,                0.69328,                0.78316,                0.48135,                0.55167,                0.50296,                0.16057,               8.29e-05,               8.29e-05,               8.29e-05
                     22,                0.59751,                 0.5142,                 0.1572,                0.83568,                0.69713,                0.78617,                0.48402,                 0.5485,                 0.5015,                0.15962,                8.2e-05,                8.2e-05,                8.2e-05
                     23,                0.59459,                0.51333,                0.15707,                 0.8369,                0.70199,                0.78857,                0.48695,                0.54643,                 0.4997,                0.15913,               8.11e-05,               8.11e-05,               8.11e-05
                     24,                0.59189,                0.51122,                0.15542,                0.84017,                0.70395,                0.79131,                0.48953,                0.54279,                 0.4991,                0.15823,               8.02e-05,               8.02e-05,               8.02e-05
                     25,                0.58667,                0.51009,                0.15504,                0.84248,                0.70666,                0.79418,                0.49234,                0.54009,                0.49751,                0.15729,               7.93e-05,               7.93e-05,               7.93e-05
                     26,                0.58541,                0.50945,                0.15403,                0.84186,                0.71069,                0.79668,                0.49444,                0.53781,                0.49679,                0.15643,               7.84e-05,               7.84e-05,               7.84e-05
                     27,                0.58333,                  0.508,                0.15221,                0.84359,                0.71208,                0.79866,                0.49642,                0.53551,                0.49559,                0.15604,               7.75e-05,               7.75e-05,               7.75e-05
                     28,                0.58161,                0.50599,                  0.152,                0.84492,                0.71334,                0.79997,                0.49832,                0.53304,                0.49557,                0.15525,               7.66e-05,               7.66e-05,               7.66e-05
                     29,                 0.5801,                0.50437,                0.15122,                0.84642,                0.71557,                0.80229,                0.50005,                0.53125,                0.49426,                0.15451,               7.57e-05,               7.57e-05,               7.57e-05
                     30,                0.57725,                0.50492,                0.15016,                0.84815,                0.71699,                0.80412,                0.50187,                0.53004,                0.49286,                 0.1538,               7.48e-05,               7.48e-05,               7.48e-05
                     31,                0.57342,                0.50432,                0.14954,                0.84974,                0.71988,                0.80582,                0.50365,                0.52873,                0.49173,                0.15326,               7.39e-05,               7.39e-05,               7.39e-05
                     32,                 0.5733,                0.50349,                0.14892,                0.84951,                0.72207,                0.80713,                0.50519,                0.52688,                0.49111,                0.15243,                7.3e-05,                7.3e-05,                7.3e-05
                     33,                0.56887,                0.50202,                0.14929,                 0.8519,                0.72214,                0.80881,                0.50687,                 0.5247,                0.49095,                0.15185,               7.21e-05,               7.21e-05,               7.21e-05
                     34,                0.56724,                0.50227,                0.14801,                0.85227,                0.72333,                0.80974,                0.50833,                  0.523,                0.49012,                0.15114,               7.12e-05,               7.12e-05,               7.12e-05
                     35,                0.56463,                 0.5016,                0.14666,                0.85384,                0.72455,                0.81121,                0.50963,                0.52092,                0.49053,                0.15086,               7.03e-05,               7.03e-05,               7.03e-05
                     36,                0.56513,                0.49931,                0.14595,                0.85472,                0.72553,                0.81278,                0.51065,                0.51971,                0.48931,                0.15043,               6.94e-05,               6.94e-05,               6.94e-05
                     37,                 0.5623,                 0.4984,                0.14601,                0.85501,                0.72806,                0.81373,                0.51168,                0.51925,                0.48792,                0.15024,               6.85e-05,               6.85e-05,               6.85e-05
                     38,                0.56424,                0.49879,                0.14404,                0.85557,                0.72768,                0.81444,                0.51256,                0.51739,                0.48759,                 0.1495,               6.76e-05,               6.76e-05,               6.76e-05
                     39,                0.56118,                0.49723,                0.14555,                0.85509,                 0.7301,                0.81535,                0.51409,                0.51667,                0.48679,                 0.1493,               6.67e-05,               6.67e-05,               6.67e-05
                     40,                0.55583,                0.49685,                0.14399,                0.85635,                0.73161,                0.81647,                0.51535,                0.51566,                0.48574,                0.14897,               6.58e-05,               6.58e-05,               6.58e-05
                     41,                0.55756,                0.49589,                0.14385,                0.85502,                0.73377,                0.81751,                0.51613,                0.51402,                0.48579,                0.14791,               6.49e-05,               6.49e-05,               6.49e-05
                     42,                0.55456,                0.49538,                0.14367,                0.85544,                0.73515,                0.81812,                0.51699,                0.51252,                0.48607,                0.14725,                6.4e-05,                6.4e-05,                6.4e-05
