                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8269,                0.27093,                0.46633,                0.31523,                0.02639,                0.01269,                0.00244,                 1.6817,                0.31317,                0.37383,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4931,                0.43044,                0.28057,                0.50505,                0.07529,                0.06095,                0.02685,                 1.2829,                0.51956,                0.22364,               9.91e-05,               9.91e-05,               9.91e-05
                      3,                 1.2922,                0.53316,                0.20447,                0.31098,                0.12386,                  0.122,                0.06648,                 1.1589,                0.56995,                0.17653,               9.91e-05,               9.91e-05,               9.91e-05
                      4,                  1.191,                0.55027,                0.17184,                0.27379,                0.17343,                0.15524,                0.08188,                 1.0627,                0.56426,                0.14857,               9.82e-05,               9.82e-05,               9.82e-05
                      5,                 1.1403,                0.55168,                0.15756,                0.30591,                0.19386,                 0.1787,                0.09933,                 1.0197,                  0.563,                0.13843,               9.73e-05,               9.73e-05,               9.73e-05
                      6,                 1.0992,                0.55208,                0.14581,                0.32155,                0.21571,                0.20184,                0.11214,                0.98097,                0.56375,                0.12859,               9.64e-05,               9.64e-05,               9.64e-05
                      7,                 1.0717,                0.55196,                0.13723,                0.34093,                 0.2294,                0.21701,                0.12284,                0.94325,                0.56691,                0.11859,               9.55e-05,               9.55e-05,               9.55e-05
                      8,                 1.0424,                0.55286,                0.12984,                0.35348,                0.24721,                0.22869,                0.12946,                0.92215,                0.56632,                0.11525,               9.46e-05,               9.46e-05,               9.46e-05
                      9,                 1.0283,                0.54901,                0.12442,                0.36336,                0.26159,                0.23981,                0.13562,                0.90666,                0.56587,                0.11107,               9.37e-05,               9.37e-05,               9.37e-05
                     10,                 1.0072,                0.55041,                0.12061,                0.37957,                0.26461,                0.24897,                0.14198,                0.89147,                0.56558,                0.10755,               9.28e-05,               9.28e-05,               9.28e-05
                     11,                0.99186,                0.55072,                 0.1186,                0.38721,                0.26643,                0.25563,                0.14634,                 0.8827,                0.56732,                0.10558,               9.19e-05,               9.19e-05,               9.19e-05
                     12,                0.97192,                0.55295,                0.11513,                0.38585,                0.27378,                0.26095,                0.14939,                0.87461,                0.56782,                0.10412,                9.1e-05,                9.1e-05,                9.1e-05
