                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3954,                  2.437,                 3.0909,                0.39667,                 0.2933,                0.28232,                0.11417,                 2.4144,                 1.7454,                 2.2797,               0.070034,              0.0033295,              0.0033295
                      2,                 2.1472,                 1.4493,                 1.9295,                0.70416,                0.45962,                  0.537,                0.26396,                 1.8244,                  1.193,                 1.6835,               0.040001,              0.0066299,              0.0066299
                      3,                 1.8155,                 1.1882,                 1.6274,                0.76069,                0.53817,                0.62113,                 0.3262,                  1.625,                  1.027,                 1.5139,              0.0099354,              0.0098972,              0.0098972
                      4,                  1.649,                 1.0501,                 1.4983,                0.80071,                0.58468,                0.67369,                0.37292,                 1.5016,                0.90781,                 1.4288,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5472,                0.96534,                 1.4274,                0.81799,                0.62145,                0.70861,                0.40471,                 1.4266,                0.84072,                 1.3687,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.4813,                0.91163,                  1.385,                0.82597,                0.63535,                0.72222,                0.41838,                 1.3859,                0.81206,                 1.3426,               0.009802,               0.009802,               0.009802
                      7,                 1.4366,                0.87263,                 1.3544,                0.83109,                 0.6548,                0.73996,                0.43073,                 1.3589,                0.78658,                 1.3106,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.406,                 0.8496,                 1.3328,                0.83736,                0.66372,                0.75226,                0.44323,                  1.333,                0.76348,                  1.293,               0.009703,               0.009703,               0.009703
                      9,                 1.3815,                0.82824,                 1.3104,                0.84349,                0.66521,                0.75569,                0.44321,                 1.3341,                0.75855,                 1.2875,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.3668,                0.81894,                 1.2949,                0.85145,                 0.6755,                0.76709,                0.46308,                 1.2954,                0.73595,                 1.2626,               0.009604,               0.009604,               0.009604
                     11,                  1.348,                 0.8075,                 1.2825,                0.83977,                0.68093,                0.76824,                0.46285,                 1.2894,                0.73122,                 1.2564,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3357,                0.79443,                 1.2711,                0.84894,                0.68436,                 0.7742,                0.47002,                 1.2699,                0.71744,                 1.2422,               0.009505,               0.009505,               0.009505
                     13,                   1.32,                0.78352,                 1.2641,                0.85118,                0.68911,                0.77932,                0.47467,                 1.2625,                0.71143,                 1.2379,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3105,                0.77503,                 1.2545,                0.84938,                 0.6971,                0.78506,                  0.481,                 1.2439,                0.69783,                 1.2257,               0.009406,               0.009406,               0.009406
                     15,                 1.2976,                0.76579,                 1.2475,                  0.848,                0.70149,                0.78443,                0.47863,                 1.2486,                0.69869,                 1.2258,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2952,                0.76569,                 1.2429,                0.85322,                0.70294,                0.78825,                0.48573,                 1.2362,                0.68407,                 1.2177,               0.009307,               0.009307,               0.009307
                     17,                 1.2822,                0.75318,                 1.2347,                0.84919,                0.70874,                0.79189,                0.48944,                 1.2308,                0.68009,                 1.2122,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2729,                0.74517,                 1.2284,                0.85317,                0.71386,                0.79628,                0.49368,                 1.2221,                0.67307,                 1.2088,               0.009208,               0.009208,               0.009208
                     19,                 1.2629,                0.73757,                 1.2243,                0.86001,                0.71194,                0.79914,                0.49437,                 1.2198,                0.66496,                 1.2053,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.2568,                0.73389,                 1.2184,                0.85708,                0.71405,                0.80132,                0.50109,                 1.2058,                0.66026,                 1.1991,               0.009109,               0.009109,               0.009109
                     21,                 1.2506,                0.72764,                  1.215,                0.85141,                0.71792,                0.80172,                0.49848,                 1.2039,                0.66135,                 1.1956,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2416,                0.72014,                 1.2099,                0.85738,                0.71946,                0.80431,                0.50334,                 1.1984,                0.65042,                 1.1926,                0.00901,                0.00901,                0.00901
                     23,                 1.2412,                0.71983,                 1.2079,                0.86138,                0.71632,                0.80507,                0.50278,                 1.1918,                0.64718,                 1.1888,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.2362,                  0.715,                 1.2075,                0.85812,                0.72233,                0.80477,                0.50255,                 1.1933,                0.64718,                 1.1889,               0.008911,               0.008911,               0.008911
                     25,                 1.2296,                0.71237,                 1.2044,                0.85934,                0.72513,                 0.8079,                0.50739,                 1.1845,                0.64218,                 1.1848,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2282,                0.70762,                 1.2006,                0.85948,                0.72746,                0.80994,                 0.5114,                 1.1797,                0.63683,                 1.1813,               0.008812,               0.008812,               0.008812
                     27,                 1.2265,                0.70756,                 1.1983,                0.86241,                0.72681,                0.81015,                0.50934,                 1.1812,                0.63416,                 1.1795,              0.0087625,              0.0087625,              0.0087625
