                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3505,                  3.788,                  2.702,                 0.0363,                0.09719,                0.03488,                0.01323,                 2.9668,                 2.5327,                 1.6466,               0.070074,              0.0033251,              0.0033251
                      2,                 2.6396,                 2.3331,                 1.4923,                0.21642,                0.12593,                0.07756,                0.03329,                 2.2285,                   1.91,                 1.2568,               0.040041,              0.0066255,              0.0066255
                      3,                 2.2279,                 1.9395,                 1.2829,                0.27243,                0.15311,                0.11325,                 0.0556,                 1.9303,                 1.6139,                 1.1468,              0.0099752,              0.0098929,              0.0098929
                      4,                 1.9975,                 1.7184,                 1.1888,                0.21747,                0.17351,                0.14013,                 0.0703,                 1.8374,                 1.4739,                 1.1082,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8404,                 1.5369,                 1.1297,                0.24927,                0.19643,                0.17138,                0.09105,                 1.6789,                 1.3285,                 1.0583,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7445,                 1.4318,                 1.0919,                0.29012,                0.22603,                0.19309,                0.10471,                 1.6037,                   1.26,                 1.0394,               0.009802,               0.009802,               0.009802
                      7,                  1.671,                 1.3526,                 1.0713,                0.29489,                0.24104,                  0.216,                0.11683,                 1.5475,                 1.2019,                 1.0248,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.6217,                 1.2923,                  1.052,                0.30482,                 0.2472,                 0.2241,                0.11963,                  1.527,                  1.189,                 1.0147,               0.009703,               0.009703,               0.009703
                      9,                 1.5719,                 1.2462,                 1.0385,                0.33975,                0.26337,                0.24303,                0.13509,                 1.4782,                 1.1322,                 1.0035,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5363,                 1.2039,                 1.0289,                 0.3573,                0.27906,                 0.2584,                0.14515,                 1.4481,                 1.1141,                0.99812,               0.009604,               0.009604,               0.009604
                     11,                  1.517,                 1.1832,                 1.0249,                0.36126,                0.28205,                0.26346,                0.14947,                 1.4174,                 1.0728,                0.98149,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.4776,                 1.1445,                 1.0156,                0.36523,                0.29052,                0.27529,                0.15491,                 1.3908,                 1.0565,                0.97312,               0.009505,               0.009505,               0.009505
                     13,                   1.47,                 1.1288,                  1.008,                0.37822,                0.29583,                0.28214,                0.15971,                 1.3765,                 1.0412,                0.96891,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4538,                 1.1077,                 1.0018,                0.39586,                0.30044,                0.29084,                0.16609,                 1.3585,                 1.0281,                0.96517,               0.009406,               0.009406,               0.009406
                     15,                  1.429,                 1.0835,                0.99602,                0.40928,                0.31351,                0.30287,                0.17251,                  1.345,                 0.9968,                0.96389,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4154,                 1.0667,                0.99326,                0.40487,                0.30664,                 0.3023,                0.17228,                 1.3331,                0.99815,                0.96131,               0.009307,               0.009307,               0.009307
                     17,                 1.4052,                 1.0547,                0.99067,                0.42656,                0.31399,                0.31069,                0.17951,                 1.3215,                 0.9747,                0.95466,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3953,                 1.0449,                 0.9842,                0.42318,                0.31006,                0.30987,                0.17838,                 1.3194,                0.98222,                 0.9549,               0.009208,               0.009208,               0.009208
                     19,                 1.3811,                 1.0237,                0.97994,                0.43539,                0.31514,                0.31946,                0.18549,                 1.3012,                0.96796,                0.95237,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3659,                 1.0073,                0.97932,                0.42779,                0.32455,                0.32204,                0.18709,                    1.3,                0.95662,                0.95164,               0.009109,               0.009109,               0.009109
